name,school_type,curriculum_type,Address,"Lat, Lon"
Abc Private School,Private,British,"1st Street, Sector SH22, Plot 8 - Al Shamkha City - Abu Dhabi","24.354382553398235, 54.70615073861168"
Abdulla Bin Al Zubair Private School,Private,British,5JPG+QWP - Al Maqam - Shabiyat Al Maqam - Abu Dhabi,"24.207574415065523, 55.63361013578145"
Abdulla Bin Otaiba School,Charter,American,8H95+6XC - Mohamed Bin Zayed City - Z23 - Abu Dhabi,"24.318337898430116, 54.56049456260779"
Abu Dhabi Grammar School,Private,Canadian,Al Zahiyah St - Al Zahiyah - E16 01 - Abu Dhabi,"24.49236197582331, 54.381306951523825"
Abu Dhabi Indian School - Muroor,Private,Indian,"Al - 23rd St., Salama Bint Butti St - Muroor Rd - Abu Dhabi","24.445202185697138, 54.410854274825255"
Abu Dhabi Indian School - Wathba,Private,CBSE,Al Sahl St - Al Wathba - Al Wathbah South - Abu Dhabi,"24.263468119541468, 54.6588847459864"
Abu Dhabi International Private School - Karamah,Private,American,"Al Karamah St,Al Rowda Area - 110 Bab Al Nabil St - Al Manhal - Abu Dhabi","24.468718068778784, 54.36348984693304"
Abu Dhabi Island International Private School,Private,American,7P63+6FG - Al Tiwayya - Eidan Al Ridda - Abu Dhabi,"24.260830474035227, 55.70402173249093"
Ain Al Fayedha,Charter,American,3MRV+3MX - Unnamed Road - Ain Al Faydah - Ain Al Fayda - Abu Dhabi,"24.090376694286693, 55.69470256501012"
Ain Al Khaleej Private School,Private,American,Falaj Hazza' - Magr Al Dhabi - Abu Dhabi,"24.19427612061243, 55.71298483433346"
Al Adhwa Private School,Private,American,6P2G+845 - Falaj Hazza' - Magr Al Dhabi - Abu Dhabi,"24.20107872769125, 55.7248634698737"
Al Ahd School,Charter,American,115 Barqa Awwad St - Bani Yas - Baniyas East - Abu Dhabi,"24.299192329397343, 54.64633274783128"
Al Ain American Private School,Private,American,Building 7 - 'Asharij - Abu Dhabi,"24.202892608513892, 55.65230250918737"
Al Ain British Academy,Private,British,212 Al Salam St - Central District - Al Nyadat - Abu Dhabi,"24.21531322921957, 55.78255965579229"
