title,property_type,price,price_numeric,size_sqft,latitude,longitude,url
21455 Commercial Properties for Rent in UAE - Property Finder,Warehouse,"AED 180,000",180000,4000,25.3082218170166,55.65555953979492,https://www.propertyfinder.ae/en/commercial-rent/properties-for-rent.html
Rent in Al Zahiyah: Full Office Floor Mezzanine I Free valley Parking  | Property Finder,Office,"AED 229,999",229999,2669,24.497058868408203,54.38042449951172,https://www.propertyfinder.ae/en/plp/commercial-rent/full-floor-for-rent-abu-dhabi-al-zahiyah-15581061.html
Rent in Al Muntazah: Premium Commercial Office Space | High-end Finish | Property Finder,Office,"AED 360,000",360000,2572,24.428293228149414,54.463470458984375,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-muntazah-15394297.html
Rent in Al Masaood Tower: Stunning Office Space | Prime Location | Office | Property Finder,Office,"AED 364,100",364100,3561,24.487882614135742,54.37259292602539,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-al-najda-street-al-masaood-tower-15242992.html
Rent in Hamdan Street: Well-Fitted Glass Partitioned Office in Hamdan | Property Finder,Warehouse,"AED 332,200",332200,3249,24.482032775878906,54.35242462158203,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-hamdan-street-15188864.html
Rent in Khalifa City A: BUA 411 SQM I 11 Cabins I 4 Parking I Fully Fitted | Property Finder,Office,"AED 493,200",493200,4424,24.42344856262207,54.578697204589844,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-khalifa-city-khalifa-city-a-15170437.html
Rent in Mohamed Bin Zayed City: 919 SQM | Furnished I Premium I All Inclusive | Property Finder,Office,"AED 1,378,500",1378500,9892,24.333309173583984,54.55467987060547,https://www.propertyfinder.ae/en/plp/commercial-rent/office-space-for-rent-abu-dhabi-mohamed-bin-zayed-city-15290271.html
Rent in Al Nahyan: High-Visibility| Great Exposure | Retail Space | Property Finder,Office,"AED 685,800",685800,2744,24.462278366088867,54.3931884765625,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-nahyan-15530717.html
Rent in Al Dana: HUGE RETAIL FOR LEASE | SEA VIEW | EASY PARKING | Property Finder,Office,"AED 766,000",766000,4122,24.44371223449707,54.57817840576172,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-al-raha-beach-al-dana-15513420.html
Rent in Hamdan Street: Big Showroom |Prime Area| Available end July 2025 | Property Finder,Office,"AED 2,000,000",2000000,10872,24.482032775878906,54.35242462158203,https://www.propertyfinder.ae/en/plp/commercial-rent/retail-for-rent-abu-dhabi-hamdan-street-14387016.html
