School Name,Latitude,Longitude,Curriculum,Grades,Year Established in Dubai,2023/24 Enrollments,Average Tuition,Max Tuition
Al Adab Iranian Private School for Boys,25.276381,55.368653,Iranian - International Baccalaureate,KG1-G12,1989,160,14297.42857,20287
Al Adab Iranian Private School for Girls,25.276431,55.369036,Iranian,KG1-G12,1989,167,14007.57143,19876
Al Arqm Private School,25.108514,55.189206,Ministry of Education,Pre Primary-G12,1990,958,11955.92857,17925
Al Basateen Private Nursery,25.231106,55.522533,Ministry of Education,KG1-KG2,2003,115,8009,8009
Al Basateen Private Nursery - Hatta Branch,24.798719,56.124897,Ministry of Education,KG1-KG2,2004,125,5540,5540
Al Diyafah High School L.L.C,25.290128,55.374764,UK,FS1-Y13,1982,1716,12008.06667,20005
Al Eman Educational EST,25.230481,55.389272,Ministry of Education,KG1-G9,1973,308,7385.727273,9171
Al Ghaf Private School L.L.C,25.02992058,55.11357117,UK,FS1- Y8,2020,59,45150,51000
Al Ittihad Private School,25.29988861,55.34435272,American,Pre Primary-G12,1975,1542,25283.46667,41460
Al Ittihad Private School (Br),25.18071365,55.24103165,American,Pre Primary-G12,1998,2581,31895.26667,42278
Al Maaref Private School L.L.C,25.28619194,55.36785889,American,Pre Primary-G12,1987,1195,19262.21429,36281
Al Mawakeb School Al Barsha L.L.C,25.104503,55.201706,American,KG1-G12,1998,3357,18329.42857,24908
Al Mawakeb School Al Garhoud L.L.C,25.234675,55.358314,American,KG1-G12,1995,2308,18329.42857,24908
Al Mawakeb School Al Khawaneej L.L.C,25.23575974,55.43930817,American,Pre Primary-G12,2018,1205,50912.66667,68004
Al Nibras International Private School,25.000017,55.171757,American,KG1-G12,2005,1525,36274.42857,49166
Al Rashid Al Saleh Private School,25.2369525,55.3180053,Ministry of Education,KG1-G12,1983,2708,12508.78571,18847
Al Sadiq Islamic English School,25.265897,55.385764,UK,FS2-Y11,1989,2188,5925.153846,9281
Al Salam Community School L.L.C,25.25951958,55.38159943,UK,FS1-Y13,2019,1945,31914.86667,40158
Al Salam Private School,25.28867531,55.36948013,UK,FS1-Y9,1989,1253,17536.83333,27881
Al Shurooq Private School,25.213097,55.2553,Ministry of Education,KG1-G12,1986,1934,9603.5,12718
Ambassador International Academy L.L.C,25.14459038,55.24818039,International Baccalaureate,Pre primary-G10,2019,1474,67631.71429,91155
Ambassador School,25.245899,55.288406,Indian,Pre primary-G12,2010,1408,29833.73333,44700
American Academy for Girls,25.238386,55.428675,American,Pre Primary-G12,2005,548,57856.33333,69480
American International School,25.283458,55.368764,American,KG1-G12,2003,2744,16168.64286,21233
American School Dubai,25.10029,55.182186,American,Pre Primary-G12,1973,2061,82491.4,87268
American School of Creative Science L.L.C,25.14905186,55.37769844,American,KG1-G9,2016,720,49321.42857,65000
Amity English School,25.27979088,55.36653137,UK,,2024,,0,0
Amity School L.L.C,25.27979088,55.36653137,Indian,Pre-primary-G9,2017,1311,25811.46667,32627
Apple International School,25.27915036,55.37502078,UK,FS1-Y13,1994,4937,12454.73333,27318
Arab Unity School L.L.C,25.236325,55.429928,UK,FS2-Y13,1975,3504,7608.266667,10560
Arcadia British School,25.04596412,55.18262764,UK,FS1-Y11,2016,1067,79994.42857,94000
Arcadia Global School,25.02940876,55.15100326,UK,FS1 - Y6,2023,625,47200,61000
Australian International School - Dubai L.L.C,25.0611496,55.23125839,Australian,Pre-primary-G8,2021,421,64333.33333,85000
BC Academy International School L.L.C,25.15234192,55.20640452,UK,Y1-Y7,2024,,0,0
Bilingual French International School L.L.C-FZ,25.15252113,55.29824066,French,Pre Primary-G10,2012,551,75823.5,94095
Bloom World Academy L.L.C,25.07893434,55.2342521,International Baccalaureate,Pre-primary-G10,2022,684,65642.85714,85000
Bright Learners Private School L.L.C,25.22205925,55.39583969,American,Pre-primary-G6,2020,221,28327.11111,31968
Bright Riders School,24.99975014,55.17388916,Indian,Pre-primary-G8,2018,1142,24433.33333,30000
Brighton College Dubai L.L.C,25.07917023,55.23278046,UK,FS1-Y13,2018,976,99215.2,115225
Buds Public School,25.240664,55.407408,Indian,Pre-primary-G12,1986,1053,12193,14920
Cambridge International School,25.2645677,55.3751226,UK,FS1-Y13,2004,2779,29730.73333,35931
Capital School L.L.C,25.284464,55.371974,UK,FS1-Y10,2014,800,54028.57143,66600
Cedar School L.L.C,25.19017982,55.39775848,UK,FS1-Y8,2021,328,32503.63636,39669
Chinese School Dubai,25.22723007,55.43109131,Chinese,KG1-G8,2020,503,29921.66667,32445
Citizens School,25.20948625,55.26668721,UK,FS1-Y8,2022,536,64000,75000
Clarion School L.L.C,25.16609001,55.257061,American,Pre Primary-G7,2016,293,74787.63636,94680
