OBJECTID,SCH_ACADEMIC_YEAR,SCH_ESIS_ID,SCH_EDUCATION_TYPE_EN,SCH_EDUCATION_TYPE_AR,SCH_NAME_EN,SCH_NAME_AR,SCH_GENDER_EN,SCH_GENDER_AR,SCH_CURRICULUM_EN,SCH_CURRICULUM_AR,SCH_GRADES_EN,SCH_GRADES_AR,SCH_CYCLE_EN,SCH_CYCLE_AR,SCH_REGION_EN,SCH_REGION_AR,SCH_DISTRICT_EN,SCH_DISTRICT_AR,SCH_COMMUNITY,SCH_PHONE,SCH_EMAIL_ADDRESS,SCH_WEBSITE,SCH_AVERAGE_TUITION_FEE,X,Y,latitude,longitude,geometry_type
,,,American,,Abdulla Bin Otaiba School,,,,,,,,,,,,,,,,,,,,,24.3183379,54.5604945626077,
,,,American,,Ain Al Fayedha,,,,,,,,,,,,,,,,,,,,,24.09037669,55.6947025650101,
,,,American,,Al Ahd School,,,,,,,,,,,,,,,,,,,,,24.29919233,54.6463327478312,
,,,American,,Al Azm School,,,,,,,,,,,,,,,,,,,,,24.45756037,54.7390658189999,
,,,American,,Al Bayan School,,,,,,,,,,,,,,,,,,,,,24.28723479,54.6485751483675,
,,,American,,Al Bayraq School,,,,,,,,,,,,,,,,,,,,,24.0698494,55.8573302539448,
,,,American,,Al Danah School,,,,,,,,,,,,,,,,,,,,,24.30506444,54.5920045650151,
,,,American,,Al Dhaher,,,,,,,,,,,,,,,,,,,,,24.0718964,55.8675280713845,
,,,American,,Al Forsan Kg,,,,,,,,,,,,,,,,,,,,,24.35317901,54.7499207920069,
,,,American,,Al Ghad School,,,,,,,,,,,,,,,,,,,,,24.31657706,54.5359312938502,
,,,American,,Al Ghadeer Kg,,,,,,,,,,,,,,,,,,,,,24.16161745,55.6655149803513,
,,,American,,Al Ghaf School,,,,,,,,,,,,,,,,,,,,,25.03021882,55.1140905938666,
,,,American,,Al Hosoon School,,,,,,,,,,,,,,,,,,,,,24.0492565,55.8433765993767,
,,,American,,Al Janaen School,,,,,,,,,,,,,,,,,,,,,24.16012518,55.6641133956908,
,,,American,,Al Majd School,,,,,,,,,,,,,,,,,,,,,24.46056039,54.7214143920093,
,,,American,,Al Mushrif Kg,,,,,,,,,,,,,,,,,,,,,24.4388779,54.4034529552109,
,,,American,,Al Mutanabi,,,,,,,,,,,,,,,,,,,,,24.48833363,54.3827642782946,
,,,American,,Al Nahdha School,,,,,,,,,,,,,,,,,,,,,24.45926665,54.3871142890077,
,,,American,,Al Narjes School,,,,,,,,,,,,,,,,,,,,,24.08889141,55.7029735026875,
,,,American,,Al Nayfa Kg,,,,,,,,,,,,,,,,,,,,,24.44647028,54.7133303036602,
,,,American,,Al Qeyam School,,,,,,,,,,,,,,,,,,,,,24.32652473,54.8069526119554,
,,,American,,Al Qurm School,,,,,,,,,,,,,,,,,,,,,24.37554739,54.5370768809424,
,,,American,,Al Rayaheen School,,,,,,,,,,,,,,,,,,,,,24.13210856,55.7357111858785,
,,,American,,Al Rayana School,,,,,,,,,,,,,,,,,,,,,24.43014864,54.7351219769555,
,,,American,,Al Reef School,,,,,,,,,,,,,,,,,,,,,24.56590269,54.7228272497202,
,,,American,,Al Riyadh,,,,,,,,,,,,,,,,,,,,,24.33171,54.7315778625853,
,,,American,,Al Salam School,,,,,,,,,,,,,,,,,,,,,24.44720592,54.7067705719149,
,,,American,,Al Wafaa Kg,,,,,,,,,,,,,,,,,,,,,24.34840021,54.6328086361811,
,,,American,,Al Walaa Kg,,,,,,,,,,,,,,,,,,,,,24.34840021,54.6328086361811,
,,,American,,Al Watan School,,,,,,,,,,,,,,,,,,,,,24.37166165,54.6401289650164,
,,,American,,Jebal Hafeet School,,,,,,,,,,,,,,,,,,,,,24.08458591,55.7374546705426,
,,,American,,Jern Yafoor,,,,,,,,,,,,,,,,,,,,,24.29956264,54.6207561563805,
,,,American,,Maryam Bint Omran School,,,,,,,,,,,,,,,,,,,,,24.28606402,54.6494720650146,
,,,American,,Mubarak Bin Mohammed School,,,,,,,,,,,,,,,,,,,,,24.45825536,54.3550249908414,
,,,American,,Seer Bani Yas School,,,,,,,,,,,,,,,,,,,,,24.33022469,54.5322510184108,
