OBJECTID,SCH_ACADEMIC_YEAR,SCH_ESIS_ID,SCH_EDUCATION_TYPE_EN,SCH_EDUCATION_TYPE_AR,SCH_NAME_EN,SCH_NAME_AR,SCH_GENDER_EN,SCH_GENDER_AR,SCH_CURRICULUM_EN,SCH_CURRICULUM_AR,SCH_GRADES_EN,SCH_GRADES_AR,SCH_CYCLE_EN,SCH_CYCLE_AR,SCH_REGION_EN,SCH_REGION_AR,SCH_DISTRICT_EN,SCH_DISTRICT_AR,SCH_COMMUNITY,SCH_PHONE,SCH_EMAIL_ADDRESS,SCH_WEBSITE,SCH_AVERAGE_TUITION_FEE,X,Y,latitude,longitude,geometry_type
1,2024,9338,Private,خاص,Liwa International  School - Qattarah,مدرسة ليوا الدولية -القطارة,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع",KG & Cycle 1 & Cycle 2,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية",Al Ain,العين,AL QATTARAH,القطارة,AL MRAGHA,37046555,9338@adek.gov.ae,N/A,27821,55.74784287,24.26930325,24.269303250000064,55.747842870000056,Point
2,2024,9055,Private,خاص,Al Minhaj Private School,مدرسة المنهاج الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL DANAH,الدانة,E3,24482414,9055@adek.gov.ae,http://almashaeluae.com,12826,54.36554218,24.4891107,24.489110700000026,54.365542180000034,Point
3,2024,9225,Private,خاص,Bright Riders School,مدرسة الريادة المشرقة ,Mixed,مختلط,Private Indian,خاص - هندي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,MOHAMED BIN ZAYED CITY,مدينة محمد بن زايد,Z17_01,26922000,9225@adek.gov.ae,www.brightriders.ae,15942,54.54126285,24.34431011,24.344310110000038,54.54126285000007,Point
4,2024,8178,Private,خاص,Al Marfaa International,المرفأ الدولية الخاصة,Mixed,مختلط,Private Indian,خاص - هندي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Dhafra Region,منطقة الظفرة,AL MARFA,المرفأ,MR2,28833522,almarfaaint.pvt@adek.gov.ae,N/A,3932,53.45899791,24.06125345,24.061253450000038,53.45899791000005,Point
5,2024,9277,Private,خاص,International Indian School,المدرسة الهندية الدولية,Mixed,مختلط,Private Indian,خاص - هندي,"PRE-KG,KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","ما قبل الروضة,روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",ECE & KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,BANI YAS,بني ياس,WB2_01,25854499,9277@adek.gov.ae,http://www.iischoolabudhabi.com,15988,54.61918903,24.29404076,24.29404076000003,54.61918903000003,Point
6,2024,9107,Private,خاص,Emirates Private School - Baniyas,مدرسة الامارات الخاصة- بني ياس,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,BANI YAS,بني ياس,EB8,25832888,9107@adek.gov.ae,http://www.epschad.com,5419,54.63407312,24.29348666,24.293486660000042,54.63407312000004,Point
7,2024,9136,Private,خاص,Al Awael Private School,مدرسة الأوائل الخاصة,Mixed,مختلط,Private MoE,خاص - وزارة,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,FALAJ HAZZA',فلج هزاع,MAGR AL DHABI,37806070,9136@adek.gov.ae,https://www.alawail.ae/,8076,55.72465748,24.20017265,24.20017265000007,55.724657480000076,Point
8,2024,9330,Private,خاص,International Community Schools - Khalifa,مدارس انترناشيونال كوميونيتي- مدينة خليفة,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,KHALIFA CITY,مدينة خليفة,SE38,N/A,9330@adek.gov.ae,N/A,29929,54.60530643,24.41172798,24.411727980000023,54.60530643000004,Point
9,2024,9348,Private,خاص,Cranleigh School Abu Dhabi -,مدرسة كرانلي أبوظبي - شركة ا,Mixed,مختلط,Private British,خاص - بريطاني,"FS1,KG1,KG2,G01","N/A,FS2/روضة أولى,السنة الأولى/روضة ثانية,السنة الثانية/الصف الأول",ECE & KG & Cycle 1,"حضانة,رياض الأطفال,الحلقة الأولى",Abu Dhabi,أبوظبي,AL SAADIYAT ISLAND,جزيرة السعديات,SDN1,28132111,9348@adek.gov.ae,N/A,72353,54.4240353,24.53875948,24.538759480000067,54.42403530000007,Point
10,2024,9217,Private,خاص,United Private School - Baniyas,المدرسة المتحدة - بني ياس,Mixed,مختلط,Private American,خاص - امريكي,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن",KG & Cycle 1 & Cycle 2,"رياض الأطفال,الحلقة الأولى,الحلقة الثانية",Abu Dhabi,أبوظبي,BANI YAS,بني ياس,WB4,25845366,9217@adek.gov.ae,http://www.unitedschoolbaniyas.com,29979,54.63960038,24.28569712,24.285697120000066,54.63960038000005,Point
