OBJECTID,SCH_ACADEMIC_YEAR,SCH_ESIS_ID,SCH_EDUCATION_TYPE_EN,SCH_EDUCATION_TYPE_AR,SCH_NAME_EN,SCH_NAME_AR,SCH_GENDER_EN,SCH_GENDER_AR,SCH_CURRICULUM_EN,SCH_CURRICULUM_AR,SCH_GRADES_EN,SCH_GRADES_AR,SCH_CYCLE_EN,SCH_CYCLE_AR,SCH_REGION_EN,SCH_REGION_AR,SCH_DISTRICT_EN,SCH_DISTRICT_AR,SCH_COMMUNITY,SCH_PHONE,SCH_EMAIL_ADDRESS,SCH_WEBSITE,SCH_AVERAGE_TUITION_FEE,X,Y,latitude,longitude,geometry_type
1,2024,466AD,Public,عام,Al Tafawwoq Boys School - Al Ain,مدرسة التفوق بنين - العين,Boys,بنين,U.A.E,منهاج وزارة التربية والتعليم,"G06,G07,G08,G09","السادس,السابع,الثامن,التاسع",Cycle 2 & Cycle 3,"الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,HILI,هيلي,AL REEF,506299217,Ahmed.Almarashda@ese.gov.ae,N/A,0,55.79391349,24.30162691,24.30162691000004,55.79391349000008,Point
2,2024,301AD,Public,عام,Hili School,مدرسة هيلي,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"G01,G02,G03,G04,G05","الأول,الثاني,الثالث,الرابع,الخامس",Cycle 1 & Cycle 2,"الحلقة الأولى,الحلقة الثانية",Al Ain,العين,HILI,هيلي,SHAREAT HILI,506991149,Alfarra.Aldhaheri@ese.gov.ae,N/A,0,55.7718656,24.28620095,24.286200950000023,55.77186560000007,Point
3,2024,406AD,Public,عام,Al Naeem Girls School,مدرسة النعيم بنات,Girls,بنات,U.A.E,منهاج وزارة التربية والتعليم,"G09,G10,G11,G12","التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 3,الحلقة الثالثة,Al Ain,العين,AL AAMERAH,العامرة,AL SAMAR,504540656,Azza-Sm.Alkaabi@ese.gov.ae,N/A,0,55.55015449,24.23358503,24.23358503000003,55.55015449000007,Point
4,2024,1703AD,Public,عام,Mohammed Bin Khaled School,مدرسة محمد بن خالد,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"G01,G02,G03,G04","الأول,الثاني,الثالث,الرابع",Cycle 1,الحلقة الأولى,Al Ain,العين,AL MUWAIJ'I,المويجعي,AL MNAIZFAH,503330052,Fatima.Neyadi@ese.gov.ae,N/A,0,55.72760187,24.20758922,24.207589220000045,55.72760187000006,Point
5,2024,502AD,Public,عام,Al Soroor Kindergarten,روضة السرور,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"KG1,KG2","روضة أولى,روضة ثانية",KG,"حضانة,رياض الأطفال",Abu Dhabi,أبوظبي,BANI YAS,بني ياس,EB1,506030000,Nabeeha.Aljunaibi@ese.gov.ae,N/A,0,54.64510689,24.31461755,24.314617550000037,54.64510689000008,Point
6,2024,1084AD,Public,عام,Al Somou School,مدرسة السمو ,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"KG1,KG2,G01,G02,G03,G04","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع",KG & Cycle 1,"حضانة,رياض الأطفال,الحلقة الأولى",Al Ain,العين,UM GHAFAH,أم غافة,SHABIAT UMM GHAFFA,506634495,Kareema.Alremeithi@ese.gov.ae,N/A,0,55.90924622,24.09980938,24.099809380000067,55.90924622000006,Point
7,2024,2057AD,Public,عام,Al Rahbah School,مدرسة الرحبة,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 1 & Cycle 2 & Cycle 3,"الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Abu Dhabi,أبوظبي,AL SAMHAH,السمحة,RAHBAH_L,503633855,Sumaia.Alkatheeri@ese.gov.ae,N/A,0,54.70993899,24.62672838,24.62672838000003,54.70993899000007,Point
8,2024,470AD,Public,عام,Al Ataa School,مدرسة العطاء,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"KG1,KG2,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12","روضة أولى,روضة ثانية,الأول,الثاني,الثالث,الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",KG & Cycle 1 & Cycle 2 & Cycle 3,"حضانة,رياض الأطفال,الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,AL DHAHRAH,الظاهرة,AL MALALEEH,507431223,Amna-Am.Alshamisi@ese.gov.ae,N/A,0,55.57343984,23.9982403,23.998240300000077,55.57343984000005,Point
9,2024,322AD,Public,عام,Al Nahyaniyyah School,مدرسة النهيانية,Mixed,مختلط,U.A.E,منهاج وزارة التربية والتعليم,"G01,G02,G03,G04","الأول,الثاني,الثالث,الرابع",Cycle 1,الحلقة الأولى,Al Ain,العين,AL JAHILI,الجاهلي,HAI AL QALAA,504451010,Amna.Alsaadi@ese.gov.ae,N/A,0,55.75721115,24.21832262,24.218322620000038,55.757211150000046,Point
10,2024,262AD,Public,عام,Al Khaznah Boys School,مدرسة الخزنة بنين,Boys,بنين,U.A.E,منهاج وزارة التربية والتعليم,"G04,G05,G06,G07,G08,G09,G10,G11,G12","الرابع,الخامس,السادس,السابع,الثامن,التاسع,العاشر,الحادي عشر,الثاني عشر",Cycle 1 & Cycle 2 & Cycle 3,"الحلقة الأولى,الحلقة الثانية,الحلقة الثالثة",Al Ain,العين,AL KHAZNAH,الخزنة,AL KHAZNAH 1,503320889,Sharef.Bouloushi@ese.gov.ae,N/A,0,55.11609793,24.16748318,24.167483180000033,55.11609793000008,Point
